Manager_ID,Time_Employed,Num_Prev_Positions,Teamwork,Motivation,Leadership,Performance_Evaluation
1,8,2,4,10,8,high
2,4,3,8,7,8,high
3,3,3,1,7,5,low
4,9,1,4,4,5,low
5,7,3,3,2,10,low
6,1,2,9,1,9,low
7,11,2,6,9,10,high
8,6,3,3,8,6,high
9,12,2,2,3,4,low
10,6,3,10,9,7,high
11,10,3,3,10,5,high
12,6,2,9,10,10,high
13,14,0,5,4,5,low
14,13,1,1,1,7,low
15,0,0,3,3,6,low
16,2,3,2,5,1,low
17,5,0,8,3,2,low
18,2,3,6,8,8,high
19,1,2,5,6,2,low
20,12,1,2,10,7,high
21,12,1,5,5,10,high
22,6,3,1,2,6,low
23,0,0,8,8,9,low
24,3,3,2,9,6,low
25,15,2,6,2,5,low
26,1,2,4,4,9,low
27,7,3,2,1,1,low
28,13,3,5,2,1,low
29,3,0,5,6,3,low
30,2,1,6,3,4,low
31,0,3,5,5,10,low
32,7,3,6,7,2,high
33,0,3,5,9,8,high
34,2,0,1,3,7,low
35,14,0,7,8,8,high
36,14,1,7,9,6,high
37,3,1,10,10,2,low
38,2,1,5,2,4,low
39,3,0,9,8,6,low
40,9,3,3,9,6,high
41,12,3,5,9,10,high
42,15,0,6,1,10,low
43,15,3,5,5,6,high
44,0,2,10,7,5,high
45,4,0,2,6,6,low
46,2,0,4,2,7,low
47,14,2,8,6,6,high
48,6,2,2,1,4,low
49,14,3,6,8,3,high
50,7,1,6,6,10,high
51,12,1,5,6,7,high
52,4,1,6,6,1,low
53,13,1,4,10,2,low
54,3,2,9,1,8,high
55,7,1,8,5,3,low
56,10,2,10,5,10,high
57,8,0,7,10,7,high
58,11,1,4,5,3,low
59,15,3,6,1,2,low
60,8,1,10,10,8,high
61,11,3,5,7,9,high
62,14,3,4,8,8,high
63,3,3,2,9,10,high
64,1,1,1,8,2,low
65,7,0,2,2,5,low
66,8,2,6,3,6,low
67,4,0,1,8,5,low
68,15,2,10,5,4,high
69,0,1,8,7,1,low
70,5,1,5,5,1,low
71,5,3,2,2,5,low
72,1,0,4,6,4,low
73,1,3,1,2,3,low
74,9,3,10,5,1,high
75,8,0,2,1,2,low
76,11,2,5,5,2,low
77,11,2,4,8,7,high
78,13,0,8,2,10,low
79,3,3,5,4,9,low
80,6,2,1,9,5,high
81,3,0,2,8,9,low
82,6,0,1,3,9,low
83,0,2,1,8,10,low
84,12,2,4,3,2,low
85,1,2,4,5,7,low
86,6,1,7,9,10,high
87,14,3,8,1,3,low
88,14,0,3,6,6,low
89,0,2,6,10,7,high
90,9,3,8,7,9,high
91,5,3,3,7,4,low
92,13,3,8,9,7,high
93,8,1,1,7,5,low
94,10,2,10,7,4,high
95,5,2,9,3,6,high
96,2,2,10,9,10,high
97,8,2,9,4,3,low
98,4,0,5,2,3,low
99,13,2,2,5,6,low
100,2,1,5,4,4,low
101,12,0,5,5,8,low
102,3,3,2,2,7,low
103,8,1,10,3,8,high
104,0,0,6,8,10,low
105,12,1,2,8,1,low
106,5,2,4,4,7,low
107,5,1,1,8,4,low
108,8,1,6,8,6,high
109,6,1,3,4,9,low
110,11,1,5,6,3,low
111,8,2,1,2,2,low
112,8,2,1,5,3,low
113,13,0,3,10,8,low
114,14,3,4,8,5,high
115,8,2,6,1,3,low
116,14,0,1,4,10,low
117,2,3,1,10,1,low
118,11,0,7,8,1,low
119,14,2,7,10,4,high
120,3,2,5,9,8,high
121,4,0,2,1,2,low
122,1,3,9,4,6,low
123,5,2,4,1,4,low
124,13,0,8,3,10,low
125,11,0,9,6,6,low
126,4,2,8,2,3,low
127,7,1,6,8,7,high
128,12,1,8,5,1,low
129,8,0,5,6,6,low
130,8,0,9,9,7,high
131,12,2,5,7,7,high
132,2,1,4,1,10,low
133,5,1,7,10,3,high
134,14,1,9,4,7,high
135,0,0,8,1,2,low
136,11,0,8,2,6,low
137,13,2,7,7,1,high
138,11,3,9,10,1,high
139,0,3,10,10,3,low
140,1,2,7,5,9,high
141,7,2,1,7,7,high
142,6,3,3,8,7,high
143,11,1,4,6,10,low
144,8,2,6,2,8,high
145,11,1,9,3,10,high
146,2,1,1,9,4,low
147,10,0,3,5,9,low
148,0,0,3,8,2,low
149,6,2,9,7,2,high
150,6,0,1,1,6,low
151,12,2,6,2,5,low
152,13,1,6,7,2,low
153,9,0,6,3,9,low
154,10,0,10,8,4,low
155,14,3,5,5,8,high
156,1,2,5,5,2,low
157,4,1,3,10,7,low
158,1,0,10,3,10,low
159,5,2,3,3,2,low
160,12,0,9,8,10,high
161,15,2,5,1,8,high
162,15,3,8,7,1,high
163,13,2,1,9,3,low
164,12,2,4,7,9,high
165,3,3,2,1,4,low
166,13,2,4,7,3,low
167,6,1,4,7,2,low
168,9,1,6,2,8,low
169,0,3,1,6,6,low
170,12,3,4,3,10,low
171,8,1,2,6,2,low
172,12,0,4,8,3,low
173,15,3,3,5,10,high
174,5,1,2,1,2,low
175,9,0,3,4,9,low
176,13,0,4,4,9,low
177,10,0,6,6,3,low
178,2,3,2,3,9,low
179,5,1,2,4,3,low
180,5,0,2,5,9,low
181,14,1,9,8,10,high
182,0,1,6,2,7,low
183,4,0,4,6,5,low
184,14,3,7,1,8,high
185,12,3,5,4,6,low
186,15,2,5,9,6,high
187,4,0,2,4,4,low
188,14,0,3,1,6,low
189,15,2,2,4,2,low
190,0,0,8,3,3,low
191,5,1,6,7,2,low
192,1,1,5,8,4,low
193,7,2,9,3,7,high
194,15,3,3,1,10,low
195,10,0,6,7,1,low
196,9,1,9,2,4,low
197,10,2,5,10,10,high
198,14,3,5,8,3,high
199,6,0,1,1,1,low
200,2,2,3,9,9,high
201,9,1,4,9,7,high
202,8,3,7,3,1,low
203,13,2,10,8,8,high
204,7,3,3,3,2,low
205,6,2,2,9,5,high
206,0,2,6,2,10,low
207,14,3,2,2,5,low
208,15,2,7,4,2,low
209,12,3,2,3,4,low
210,10,0,3,10,3,low
211,6,1,3,5,5,low
212,11,3,4,3,1,low
213,7,0,10,3,3,low
214,4,2,6,6,5,low
215,3,0,1,4,3,low
216,5,0,10,5,3,low
217,9,3,1,7,7,high
218,13,1,5,5,6,low
219,11,1,9,10,4,high
220,2,1,6,8,7,high
221,14,3,1,3,4,low
222,6,0,1,2,3,low
223,0,1,3,6,8,low
224,9,2,2,10,10,high
225,8,2,9,7,6,high
226,7,1,5,3,2,low
227,0,0,4,6,7,low
228,2,2,9,7,7,high
229,3,3,5,10,7,high
230,15,2,3,2,4,low
231,10,1,6,1,1,low
232,12,3,1,7,1,low
233,8,1,5,4,10,low
234,10,0,8,1,1,low
235,13,0,5,3,1,low
236,15,1,7,1,2,low
237,3,3,4,3,1,low
238,3,1,8,4,1,low
239,8,3,1,2,5,low
240,12,0,5,2,9,low
241,9,0,2,1,7,low
242,0,3,3,3,10,low
243,13,0,4,6,8,low
244,7,2,3,9,1,low
245,5,1,9,3,1,low
246,0,0,4,4,1,low
247,2,2,9,7,4,high
248,3,2,4,4,3,low
249,2,1,3,5,10,low
250,7,1,2,8,9,high
251,5,1,2,4,1,low
252,5,0,2,7,7,low
253,3,1,7,1,6,low
254,12,2,4,4,2,low
255,12,3,2,10,2,low
256,0,1,10,7,2,low
257,2,2,3,9,10,high
258,11,0,9,4,8,low
259,5,0,7,4,1,low
260,10,1,7,4,2,low
261,13,2,1,9,5,high
262,11,3,3,4,2,low
263,10,3,2,9,10,high
264,7,1,5,9,8,high
265,15,1,3,7,8,high
266,7,0,2,7,5,low
267,8,3,3,6,2,low
268,8,1,5,9,8,high
269,7,3,9,4,7,high
270,12,2,4,8,1,low
271,12,3,5,5,9,high
272,8,0,1,7,2,low
273,7,3,3,9,2,low
274,1,1,5,4,8,low
275,8,0,4,10,9,low
276,11,2,8,2,9,high
277,0,0,1,9,6,low
278,8,2,7,2,1,low
279,14,2,10,10,6,high
280,0,2,6,5,1,low
281,13,1,2,10,5,low
282,8,2,5,3,9,high
283,10,3,8,6,1,high
284,2,2,10,7,7,high
285,15,3,5,5,7,high
286,13,1,9,7,10,high
287,1,1,6,2,10,low
288,2,0,8,9,4,low
289,6,0,4,10,1,low
290,8,2,2,4,1,low
291,5,3,3,6,2,low
292,7,1,10,2,10,high
293,8,3,1,2,7,low
294,7,1,1,4,7,low
295,15,2,1,4,5,low
296,7,1,9,1,9,high
297,2,2,10,1,1,low
298,3,0,3,2,7,low
299,8,2,10,4,3,low
300,10,0,7,3,4,low
301,3,1,8,3,4,low
302,10,2,2,3,2,low
303,9,2,6,6,10,high
304,15,1,2,2,4,low
305,1,0,4,3,8,low
306,1,0,9,3,1,low
307,13,1,9,8,6,high
308,13,2,6,1,5,low
309,3,3,3,5,7,low
310,5,2,6,1,3,low
311,6,1,10,5,10,high
312,10,3,4,10,8,high
313,12,0,6,7,2,low
314,4,2,2,6,8,low
315,10,2,6,3,5,low
316,6,1,4,3,4,low
317,5,1,1,7,6,low
318,9,3,2,7,2,low
319,8,3,10,8,8,high
320,5,0,9,3,1,low
321,1,0,6,7,1,low
322,7,1,7,6,8,high
323,13,1,2,3,8,low
324,4,0,9,9,5,low
325,14,2,10,3,7,high
326,8,3,4,1,10,low
327,9,2,8,7,5,high
328,11,0,3,7,1,low
329,6,0,9,6,8,high
330,10,0,9,8,10,high
331,11,1,8,2,5,low
332,8,0,5,7,5,low
333,1,1,9,3,10,low
334,0,2,4,9,9,low
335,9,3,2,8,9,high
336,0,1,8,9,5,low
337,12,1,5,9,4,low
338,3,0,5,6,10,low
339,8,2,9,6,7,high
340,12,1,6,9,8,high
341,14,0,6,2,10,low
342,0,0,4,7,1,low
343,14,3,4,10,2,low
344,1,1,8,2,1,low
345,1,0,7,8,2,low
346,5,0,3,3,5,low
347,8,3,1,8,1,low
348,1,3,8,3,1,low
349,9,0,10,7,6,high
350,1,1,9,8,4,low
351,4,0,9,1,6,low
352,2,0,7,6,4,low
353,11,0,1,10,2,low
354,3,0,6,6,1,low
355,6,1,10,10,1,high
356,10,0,6,7,8,high
357,11,0,7,7,7,high
358,0,3,7,6,4,low
359,1,1,1,8,6,low
360,12,3,6,9,9,high
361,10,0,6,5,3,low
362,4,3,1,4,9,low
363,15,2,4,4,9,low
364,14,3,7,8,1,high
365,14,1,7,4,7,high
366,3,2,8,2,8,high
367,10,2,6,5,10,high
368,14,0,9,6,1,low
369,4,0,5,1,3,low
370,1,2,9,1,8,low
371,10,0,10,3,10,low
372,5,3,9,6,6,high
373,11,3,7,1,4,low
374,2,3,8,2,6,low
375,8,1,9,3,4,low
376,9,0,1,2,3,low
377,2,3,2,3,9,low
378,5,2,7,8,1,high
379,3,1,1,7,3,low
380,1,3,1,7,6,low
381,0,0,8,4,2,low
382,12,1,1,4,2,low
383,6,1,5,4,7,low
384,7,2,6,4,9,high
385,3,3,8,1,6,low
386,5,2,2,8,6,high
387,13,0,6,2,8,low
388,14,1,4,2,6,low
389,11,0,9,7,10,high
390,14,0,7,1,6,low
391,6,1,2,2,1,low
392,9,2,4,6,5,low
393,12,0,1,7,1,low
394,15,3,7,8,2,high
395,12,0,3,7,10,low
396,10,2,7,10,5,high
397,0,1,6,2,6,low
398,5,3,9,7,6,high
399,3,0,6,4,3,low
400,7,0,3,8,10,low
401,1,1,6,9,10,low
402,8,1,8,5,5,high
403,14,3,4,9,6,high
404,9,1,7,8,6,high
405,0,3,8,2,4,low
406,1,0,8,8,9,low
407,2,1,2,8,9,low
408,7,0,8,4,6,low
409,10,3,1,5,8,high
410,6,2,1,2,6,low
411,2,2,1,2,8,low
412,2,3,8,7,9,high
413,10,3,10,10,4,high
414,13,3,10,1,9,high
415,10,1,1,10,2,low
416,13,1,3,4,5,low
417,10,3,5,3,10,high
418,15,3,5,5,8,high
419,15,1,6,2,4,low
420,10,2,1,8,1,low
421,9,2,10,6,1,high
422,9,2,4,2,3,low
423,6,0,2,4,7,low
424,6,0,8,3,5,low
425,6,0,3,1,2,low
426,4,2,10,6,7,high
427,13,0,10,3,4,low
428,11,1,1,1,10,low
429,4,1,6,2,7,low
430,15,2,10,6,2,high
431,6,0,4,2,5,low
432,14,1,7,10,7,high
433,2,0,2,10,6,low
434,12,2,9,1,10,high
435,4,1,7,7,8,high
436,8,2,1,10,5,high
437,7,3,6,1,8,high
438,4,2,10,9,4,high
439,13,0,1,6,7,low
440,0,1,6,4,9,low
441,3,3,4,5,8,low
442,3,0,1,2,2,low
443,0,0,9,10,6,low
444,2,1,4,8,1,low
445,2,1,5,10,3,low
446,10,0,3,7,2,low
447,9,2,3,2,7,low
448,13,1,7,7,5,high
449,12,1,1,8,7,high
450,14,3,1,5,8,high
451,5,3,3,7,4,low
452,7,1,7,1,8,high
453,12,3,9,10,4,high
454,5,1,9,4,9,high
455,15,3,9,6,2,high
456,12,0,9,8,4,low
457,9,3,9,1,2,low
458,15,2,8,9,2,high
459,13,2,3,4,5,low
460,1,2,2,3,7,low
461,13,0,4,4,7,low
462,1,0,10,9,7,low
463,4,3,5,7,4,low
464,7,1,6,1,1,low
465,3,1,9,8,9,high
466,2,2,3,8,6,low
467,0,3,5,1,7,low
468,3,2,4,8,8,high
469,2,1,7,6,4,low
470,1,2,8,6,8,high
471,13,3,3,10,2,low
472,3,0,10,3,9,low
473,5,2,7,3,6,high
474,5,1,4,4,9,low
475,0,3,6,7,10,high
476,0,2,7,7,6,high
477,3,1,10,10,1,low
478,11,0,3,4,8,low
479,2,2,9,4,3,low
480,8,2,8,7,1,high
481,10,3,6,3,4,low
482,7,3,5,10,9,high
483,2,1,6,10,10,high
484,6,0,4,5,9,low
485,5,0,3,9,2,low
486,1,0,5,10,1,low
487,15,0,3,9,4,low
488,8,3,7,4,8,high
489,2,1,2,2,9,low
490,1,3,4,7,4,low
491,6,1,7,3,7,high
492,4,3,6,6,10,high
493,7,0,2,2,10,low
494,13,1,7,3,7,high
495,6,0,8,4,2,low
496,8,3,3,2,2,low
497,4,2,4,9,3,low
498,0,3,10,9,7,high
499,2,0,9,7,10,high
500,1,2,7,9,6,high
